dc,db,lr,ll,wheelie angle,T1,T2,T3,Ttotal,IC
NA,NA,NA,NA,30.900000000000002,8.361605419334154,6.963984504643272,7.8904237693224,23.216013693299825,NA
0.001,0.0,0.0006728163648031879,0.0006728163648031879,30.900000000000002,0.07124604636364573,7.931256374483092,-5.6267811760024795,20.84029244845557,0.00045020202214891966
0.002,0.0,0.001345632729606376,0.0013456327296063758,30.900000000000002,0.0646921307029853,7.931102469565748,-5.634334251742548,20.85455334477364,0.0009004040442978395
0.002,0.001,0.002084581374608483,0.002084581374608483,31.000000000000004,-0.12917826364647667,8.157285980592302,-6.831507768528944,22.019413744882943,0.004047458218370928
0.003,0.0,0.0020184490944095642,0.0020184490944095642,30.900000000000002,0.058130900583549305,7.930947957341953,-5.641895069744919,20.86882990511924,0.0013506060664467598
0.003,0.001,0.002253528412191591,0.0022535284121915915,30.900000000000002,-0.08275261713493798,8.105309464198408,-6.492334451036518,21.685791297272875,0.0030292537340487337
0.003,0.002,0.008896357159901225,0.008896357159901225,32.1,-0.0050395739370596715,7.725357952512534,-6.726298495291548,22.221993810015896,0.026646886055386135
0.004,0.0,0.0026912654592127516,0.002691265459212752,30.900000000000002,0.05156234485847122,7.93079283659787,-5.649463641113671,20.883122152957156,0.001800808088595679
0.004,0.001,0.002802128508972766,0.0028021285089727655,30.900000000000002,-0.057134397645215884,8.065250827408859,-6.302917743350438,21.510815006886624,0.0031557845809589966
0.004,0.002,0.0041691627492169625,0.0041691627492169625,31.1,-0.12520605227656922,8.09108625091278,-6.800871213189096,22.051004707852712,0.00809491643674185
0.005,0.0,0.0033640818240159402,0.0033640818240159402,30.900000000000002,0.04498645235472232,7.930637106115761,-5.657039976975458,20.8974301118048,0.0022510101107445996
0.005,0.001,0.003418710972511858,0.003418710972511858,30.900000000000002,-0.043374873875041686,8.03863189978152,-6.18701906447513,21.407775731868476,0.0034658117541144337
0.005,0.002,0.004119864978521565,0.004119864978521566,31.000000000000004,-0.1108669800229265,8.090480891863914,-6.629770041418688,21.866169822877524,0.006395156031727038
0.005,0.003,0.008177491010687472,0.008177491010687472,31.700000000000003,-0.07611344604455006,7.87372093822653,-6.7929194278233,22.211325628941143,0.020290293127175743
0.006,0.0,0.004036898188819129,0.004036898188819128,30.900000000000002,0.03840321153715287,7.930480765171114,-5.664624090510998,20.911753807102553,0.00270121213289352
0.006,0.001,0.004059457365537907,0.004059457365537906,30.900000000000002,-0.03602723662992702,8.019923680343593,-6.110170415281393,21.342287664867552,0.0038379733594402065
0.006,0.002,0.004507056824383184,0.004507056824383184,31.000000000000004,-0.09670889989905795,8.072432725624662,-6.496242455411936,21.736532322986157,0.00605850746809747
0.006,0.003,0.0062537441238254415,0.006253744123825442,31.300000000000004,-0.12115032625888844,8.025530458184983,-6.770536977074741,22.082170538448473,0.01214237465511277
0.006,0.004,0.0177927143198025,0.0177927143198025,33.400000000000006,0.17285498027683133,7.217721191199826,-6.326497544704759,22.151935066527926,0.05329377211077243
0.007,0.0,0.0047097145536223175,0.004709714553622317,30.900000000000002,0.031812610923969586,7.930323812915445,-5.672215994433646,20.92609326389406,0.00315141415504244
0.007,0.001,0.004711547192848835,0.004711547192848836,30.900000000000002,-0.03248969374342714,8.006088668716707,-6.056401164174643,21.298815882501188,0.004238498065259954
0.007,0.002,0.005026827976877779,0.00502682797687778,31.000000000000004,-0.08668316087845263,8.054762030437873,-6.39630180246078,21.644236626201184,0.006105508908999926
0.007,0.003,0.00608259530286006,0.006082595302860059,31.200000000000003,-0.1210877921672946,8.048177969468687,-6.670975150287756,21.959898666286186,0.010052674753829162
0.007,0.004,0.0097269641141407,0.0097269641141407,31.800000000000004,-0.07977464269381507,7.842576690082255,-6.74929199527576,22.20250364118715,0.022424757432136046
0.007,0.005,0.05440188881423029,0.05440188881423028,43.800000000000004,1.2997630692927382,5.182761187299068,-4.374010530448171,21.10749996715619,0.19037444013130927
0.008,0.0,0.005382530918425504,0.005382530918425504,30.900000000000002,0.025214639496638824,7.930166247804063,-5.679815698623722,20.940448504622843,0.0036016161771913586
0.008,0.001,0.005369866474185984,0.005369866474185984,30.900000000000002,-0.03139462645470559,7.99544162965425,-6.0173903796565575,21.269357069756836,0.00465431513811085
0.008,0.002,0.005604257017945531,0.005604257017945531,31.000000000000004,-0.08009837815839305,8.03956779548719,-6.3202582524247575,21.576802528395785,0.006311569161917993
0.008,0.003,0.006337357914897753,0.006337357914897754,31.1,-0.11573758076571394,8.046967168739151,-6.578213841230138,21.862997946556526,0.009317456180432728
0.008,0.004,0.00833832549843392,0.00833832549843392,31.400000000000002,-0.11701271297371996,7.96060663779969,-6.740498350809338,22.112918119283194,0.01618983287348369
0.008,0.005,0.015631457959759665,0.015631457959759662,32.7,0.04688077287923065,7.470234883696056,-6.523614621661414,22.222512658385952,0.041491523349360786
0.009000000000000001,0.0,0.006055347283228693,0.006055347283228693,30.900000000000002,0.018609285620817317,7.930008069163451,-5.687423216557024,20.954819555072582,0.00405181819934028
0.009000000000000001,0.001,0.006031973680234329,0.006031973680234329,30.900000000000002,-0.031958579069522486,7.986987749443584,-5.988387253205492,21.249371776131255,0.005079310399801788
0.009000000000000001,0.002,0.006211925823618609,0.006211925823618609,31.000000000000004,-0.07609175496532039,8.026770706393187,-6.261198630202379,21.52653337207434,0.006598360676882629
0.009000000000000001,0.003,0.006760585236574773,0.006760585236574773,31.1,-0.11065523342148609,8.039611807006205,-6.500196247696902,21.787253367412006,0.009087761202146199
0.009000000000000001,0.004,0.008089409121686951,0.00808940912168695,31.300000000000004,-0.125106713087769,7.9964201778741195,-6.680520775450768,22.025221003964244,0.013848135953955093
0.009000000000000001,0.005,0.011584696514930689,0.011584696514930687,31.900000000000002,-0.07723947991814484,7.791070005961855,-6.705681494322249,22.207864661578363,0.025674185309356484
0.009000000000000001,0.006,0.026689071479703536,0.026689071479703536,34.900000000000006,0.3487727052685532,6.759872415550619,-5.955154806980483,22.062523379461133,0.07994065816615797
0.010000000000000002,0.0,0.006728163648031883,0.006728163648031883,30.900000000000002,0.011996537952406072,7.929849275826342,-5.695038559748076,20.96920643926915,0.004502020221489202
0.010000000000000002,0.001,0.00669655574283088,0.006696555742830879,30.900000000000002,-0.033701270515972936,7.980105177974183,-5.966483457787174,21.236093243628787,0.005510243974885955
0.010000000000000002,0.002,0.006837421945023718,0.006837421945023718,31.000000000000004,-0.07401083729920188,8.015967187009583,-6.214509068040762,21.488566411630206,0.006931623508228872
0.010000000000000002,0.003,0.007267523704238999,0.007267523704239003,31.1,-0.10684875032037588,8.03081276977689,-6.435659044530796,21.72770871837411,0.009098878692036698
0.010000000000000002,0.004,0.008239729957043135,0.008239729957043133,31.200000000000003,-0.1261535079305638,8.007503917455022,-6.61596355104078,21.95062683481615,0.01279031206345408
0.010000000000000002,0.005,0.010422906873042403,0.010422906873042403,31.6,-0.11279479038145368,7.896303193215876,-6.710748841415114,22.143254131880518,0.020237291091854615
0.010000000000000002,0.006,0.01635498202137492,0.016354982021374913,32.6,0.014840251648950087,7.50629881632087,-6.545527892816223,22.240402518146226,0.0405805862543514
0.010000000000000002,0.007,0.052103263758386635,0.052103263758386635,41.900000000000006,1.1094731062506078,5.397661783946827,-4.6482626322593426,21.357141435361733,0.17360555848359246
0.011,0.0,0.007400980012835069,0.007400980012835068,30.900000000000002,0.005376384994915995,7.929689866842928,-5.702661740608912,20.983609182070893,0.00495222224363812
0.011,0.001,0.0073628436245610895,0.0073628436245610895,30.900000000000002,-0.03631208474969938,7.974386122949854,-5.949799095906084,21.227738751005752,0.005945239620913968
